20161122 21:10:49  [INFO] info  测试日志
20161123 21:32:01  [INFO] kafeihu.zk.db.pool.DBConnectionPool   [id=NETPAY, username=localhost, jdbcUrl=jdbc:mysql://127.0.0.1/zkMoney, maxSize=50, minSize=2]
20161123 21:33:43  [INFO] kafeihu.zk.db.pool.DBConnectionPool   [id=NETPAY, username=localhost, jdbcUrl=jdbc:mysql://127.0.0.1/zkMoney, maxSize=50, minSize=2]
20161123 21:35:57  [INFO] kafeihu.zk.db.pool.DBConnectionPool   [id=NETPAY, username=root, jdbcUrl=jdbc:mysql://127.0.0.1/zkMoney, maxSize=50, minSize=2]
20161123 21:39:39  [INFO] kafeihu.zk.db.pool.DBConnectionPool   [id=NETPAY, username=root, jdbcUrl=jdbc:mysql://127.0.0.1/zkMoney, maxSize=50, minSize=2]
20161123 21:48:18  [INFO] kafeihu.zk.db.pool.DBConnectionPool   [id=NETPAY, username=root, jdbcUrl=jdbc:mysql://127.0.0.1/zkMoney, maxSize=50, minSize=2]
20161123 21:53:05  [INFO] kafeihu.zk.db.pool.DBConnectionPool   [id=NETPAY, username=root, jdbcUrl=jdbc:mysql://127.0.0.1/zkMoney, maxSize=50, minSize=2]
20161123 21:53:05  [INFO] 连接名  NETPAY
20161123 21:53:51  [INFO] kafeihu.zk.db.pool.DBConnectionPool   [id=NETPAY, username=root, jdbcUrl=jdbc:mysql://127.0.0.1/zkMoney, maxSize=50, minSize=2]
20161123 21:53:51  [INFO] 连接名  NETPAY
20161123 22:49:07  [INFO] kafeihu.zk.db.pool.DBConnectionPool   [id=NETPAY, username=root, jdbcUrl=jdbc:mysql://127.0.0.1/zkMoney, maxSize=50, minSize=2]
20161123 22:49:07  [INFO] 连接名  NETPAY
20161127 15:38:29  [INFO] UniBServer  System starting......
20161127 15:38:29  [INFO] UniBServer  Init global config OK!
20161127 15:39:29  [INFO] UniBServer  System starting......
20161127 15:39:29  [INFO] UniBServer  Init global config OK!
20161127 15:41:57  [INFO] UniBServer  System starting......
20161127 15:41:57  [INFO] UniBServer  Init global config OK!
20161127 15:42:52  [INFO] UniBServer  System starting......
20161127 15:42:52  [INFO] UniBServer  Init global config OK!
20161127 15:42:53  [INFO] kafeihu.zk.db.pool.DBConnectionPool   [id=NETPAY, username=root, jdbcUrl=jdbc:mysql://127.0.0.1/zkMoney, maxSize=50, minSize=2]
20161127 15:42:53  [INFO] 杩��ュ��  NETPAY
20161127 15:52:51  [INFO] UniBServer  System starting......
20161127 15:52:51  [INFO] UniBServer  Init global config OK!
20161127 15:52:51  [INFO] kafeihu.zk.db.pool.DBConnectionPool   [id=NETPAY, username=root, jdbcUrl=jdbc:mysql://127.0.0.1/zkMoney, maxSize=50, minSize=2]
20161127 15:52:51  [INFO] 杩��ュ��  NETPAY
20161127 15:54:20  [INFO] UniBServer  System starting......
20161127 15:54:20  [INFO] UniBServer  Init global config OK!
20161127 15:54:21  [INFO] kafeihu.zk.db.pool.DBConnectionPool   [id=NETPAY, username=root, jdbcUrl=jdbc:mysql://127.0.0.1/zkMoney, maxSize=50, minSize=2]
20161127 15:54:21  [INFO] 杩��ュ��  NETPAY
20161127 15:55:48  [INFO] UniBServer  System starting......
20161127 15:55:48  [INFO] UniBServer  Init global config OK!
20161127 15:55:48  [INFO] kafeihu.zk.db.pool.DBConnectionPool   [id=NETPAY, username=root, jdbcUrl=jdbc:mysql://127.0.0.1/zkMoney, maxSize=50, minSize=2]
20161127 15:55:48  [INFO] 杩��ュ��  NETPAY
20161127 15:55:48  [INFO] UniBServer  PreLoad classes OK!
20161127 15:57:53  [INFO] UniBServer  System starting......
20161127 15:57:53  [INFO] UniBServer  Init global config OK!
20161127 15:57:53  [INFO] kafeihu.zk.db.pool.DBConnectionPool   [id=NETPAY, username=root, jdbcUrl=jdbc:mysql://127.0.0.1/zkMoney, maxSize=50, minSize=2]
20161127 15:57:53  [INFO] 杩��ュ��  NETPAY
20161127 15:57:53  [INFO] UniBServer  PreLoad classes OK!
20161127 15:57:54  [INFO] kafeihu.zk.base.server.BSocketServer  started. [alias=SocketServer-NPS, port=8010]
20161127 15:57:54  [INFO] UniBServer  StartServiceManager OK!
20161127 15:57:54  [INFO] Active module:   monitor, netpay
20161127 15:57:54  [INFO] BServer-NPS  System started

20161127 16:10:18  [INFO] UniBServer  System starting......
20161127 16:10:18  [INFO] UniBServer  Init global config OK!
